ID_PERSON,GENDER,LASTNAME,FIRSTNAME,ADDRESS,CITY,POSTAL_CODE,EMAIL,AGE,ORIGIN,CAUSE
1,Female,Grondin,Michelle,"148, rue de Duhamel",Leclerc,56986,michelle.grondin@yahoo.com,27,Qatar,Attentat de Saint-Jean-de-luz
2,Female,Diaz,Noémi,"62, rue Olivie Morel",Munozboeuf,56782,noémi.diaz@gmail.com,74,Roumanie,Attentat de Saint-Juery
3,Male,Sauvage,Hugues,"126, boulevard de Nguyen",Da Silvanec,40961,hugues.sauvage@outlook.com,16,Libéria,Attentat de Fessenheim
4,Female,Navarro,Margaux,"2, rue Gillet",Blanc,24383,margaux.navarro@free.fr,56,Namibie,Attentat de Draguignan
5,Male,Morin,Richard,"33, chemin Briand",Teixeira,42292,richard.morin@outlook.com,10,Nouvelle Calédonie,Attentat de Fiumorbu
6,Female,Marie,Camille,"382, chemin Helene Martin",Marchand,79534,camille.marie@gmail.com,80,Venezuela,Attentat de Ceret
7,Female,Laroche,Jeannine,rue Lamy,Techerdan,94209,jeannine.laroche@outlook.com,59,Autriche,Attentat de Biarritz
8,Male,Renard,Georges,"67, avenue Oceane Gautier",TessierVille,68178,georges.renard@gmail.com,85,Azerbaïdjan,Attentat de Peri
9,Male,Le Roux,Daniel,rue de Chevalier,MenardVille,03782,daniel.le roux@yahoo.com,55,Saint-Marin (Rép. de),Attentat de Sagone
10,Male,Morel,Gabriel,rue Emmanuel Guilbert,Augerboeuf,62613,gabriel.morel@free.fr,20,Allemagne,Attentat de Hasparren
11,Female,Roche,Dorothée,"29, rue Paul Gomes",Vaillantnec,80343,dorothée.roche@outlook.com,85,Égypte,Attentat de Sperone
12,Male,Tanguy,Frédéric,"5, avenue de Dupuy",Gallet-les-Bains,94943,frédéric.tanguy@gmail.com,97,Suède,Attentat de Marseille
13,Female,Rodrigues,Simone,"49, boulevard Lefort",Saint Marguerite,59593,simone.rodrigues@yahoo.com,87,Hongrie,Attentat de Figoni
14,Female,Paul,Anastasie,boulevard Fleury,Sainte Henriette,70938,anastasie.paul@outlook.com,32,Ethiopie,Attentat de Cauria
15,Male,Perez,Édouard,"84, rue de Ferreira",Gregoiredan,16429,édouard.perez@hotmail.com,63,Rwanda,Attentat de Homps
16,Female,Carre,Alix,"25, avenue Marianne Alves",Pasquier,49160,alix.carre@hotmail.com,79,Libéria,Attentat de Orleans
17,Male,Laroche,Jacques,"2, chemin Marcel Delannoy",Sainte Marie,08257,jacques.laroche@hotmail.com,10,Micronésie (États fédérés de),Attentat de Golfe Juan
